Conditions,Growth Time,R2s,Type,Glucose r2,Mgso4 r2,Nacl r2,Similarity to mgso4_400_7.2,Concentration,Similarity to glucose_4,Batch
mgso4_0.08_5.5.3,5.5,-0.422965416,mgso4,#N/A,-0.422965416,#N/A,28021.92697,0.08,22931.37299,25
mgso4_0.005_26,26,-0.325865945,mgso4,#N/A,-0.325865945,#N/A,42079.51429,0.005,40933.72638,25
mgso4_0.01_26,26,-0.273536679,mgso4,#N/A,-0.273536679,#N/A,45670.81754,0.01,44869.97964,25
mgso4_0.02_26,26,-0.315967303,mgso4,#N/A,-0.315967303,#N/A,45189.63064,0.02,43882.78345,25
mgso4_0.04_26,26,-0.179726144,mgso4,#N/A,-0.179726144,#N/A,51926.07977,0.04,50420.1129,25
mgso4_0.08_26,26,-0.185006448,mgso4,#N/A,-0.185006448,#N/A,51596.64645,0.08,50203.23028,25
mgso4_0.005_5.1,5,-0.435796523,mgso4,#N/A,-0.435796523,#N/A,26201.64788,0.005,19553.75895,26
mgso4_0.01_5.5.1,5.5,-0.413575336,mgso4,#N/A,-0.413575336,#N/A,31321.40943,0.01,25890.0398,26
mgso4_0.02_5.5.1,5.5,-0.404323788,mgso4,#N/A,-0.404323788,#N/A,29329.69712,0.02,23794.66696,26
mgso4_0.04_5.5.1,5.5,-0.396740778,mgso4,#N/A,-0.396740778,#N/A,31400.27609,0.04,26435.37965,26
mgso4_0.08_5.5.4,5.5,-0.391328556,mgso4,#N/A,-0.391328556,#N/A,32034.57087,0.08,27050.8979,26
mgso4_0.005_26.1,26,-0.315589688,mgso4,#N/A,-0.315589688,#N/A,45110.66526,0.005,43834.41724,26
mgso4_0.01_26.1,26,-0.317226707,mgso4,#N/A,-0.317226707,#N/A,45161.0785,0.01,43665.12528,26
mgso4_0.02_26.1,26,-0.275914353,mgso4,#N/A,-0.275914353,#N/A,48429.78669,0.02,47351.38292,26
mgso4_0.04_26.1,26,-0.219469508,mgso4,#N/A,-0.219469508,#N/A,50161.00936,0.04,48800.25019,26
mgso4_0.08_26.1,26,-0.236496602,mgso4,#N/A,-0.236496602,#N/A,49923.00258,0.08,48574.18373,26
mgso4_0.005_5.2,5,-0.448483496,mgso4,#N/A,-0.448483496,#N/A,25705.18178,0.005,18809.82589,27
mgso4_0.01_5.5.2,5.5,-0.410997283,mgso4,#N/A,-0.410997283,#N/A,30950.80584,0.01,25118.86532,27
mgso4_0.02_5.5.2,5.5,-0.425452419,mgso4,#N/A,-0.425452419,#N/A,27421.85719,0.02,21251.11457,27
mgso4_0.04_5.5.2,5.5,-0.393729105,mgso4,#N/A,-0.393729105,#N/A,32662.89278,0.04,27428.48405,27
mgso4_0.08_5.5.5,5.5,-0.397654177,mgso4,#N/A,-0.397654177,#N/A,31125.78956,0.08,25422.91049,27
mgso4_0.005_26.2,26,-0.315615699,mgso4,#N/A,-0.315615699,#N/A,44932.88741,0.005,42968.30104,27
mgso4_0.01_26.2,26,-0.342071831,mgso4,#N/A,-0.342071831,#N/A,44484.39326,0.01,42747.08912,27
mgso4_0.02_26.2,26,-0.310113626,mgso4,#N/A,-0.310113626,#N/A,46102.78629,0.02,44750.2401,27
mgso4_0.04_26.2,26,-0.216327108,mgso4,#N/A,-0.216327108,#N/A,50171.41007,0.04,48543.77908,27
mgso4_0.08_26.2,26,-0.20887524,mgso4,#N/A,-0.20887524,#N/A,49887.54484,0.08,48829.15457,27
