Gene Name,Dextrose_exp_1,Dextrose_exp_2,Dextrose_sta_1,Dextrose_sta_2,Dextrose_nrp1_1,Dextrose_nrp1_2,Lipid_exp_1,Lipid_exp_2,Lipid_sta_1,Lipid_sta_2,Lipid_nrp1_1,Lipid_nrp1_2
IGR287_Rodriguez_Rv1194c-Rv1195,1.514565476,0.400020153,2.090281092,0.616742546,13.9492859,4.885407221,1.153447121,0,0,0.462309622,1.613693781,0.256992847
Miotto_candidate_1157,0,0,0,0,0,0,0,0,0,0,0,0
IGR288_Rodriguez_Rv1194c-Rv1195,522.8419522,448.5068063,1.425791735,0.788781256,716.787727,250.7602388,66.62978355,32.10964437,0.600787936,1.182539349,26.82978239,132.2390509
PE13,607.3672607,563.2483765,2.031753222,2.081506093,687.4766065,294.0184628,104.9521535,52.49361238,1.141497079,1.685118572,32.98851144,145.50678
PPE18,992.4963017,1026.02414,5.730143015,6.11707913,936.9009409,374.1150133,347.4200382,157.5314496,2.468251701,5.715774446,56.70098881,195.9681909
IGR289_Rodriguez_Rv1196-Rv1197,830.1390327,843.5255052,15.1862706,13.49790023,1171.017295,318.3380335,596.2944093,482.3245695,14.67184865,16.22011377,127.432364,165.3716757
Miotto_candidate_1158,0,0,0,0,0,0,0,0,0,0,0,0
esxK,787.4019377,803.05864,6.156827944,5.887087939,879.8195055,277.0025894,637.3319636,407.3233773,2.855115349,4.854251031,57.14990832,152.6537511
esxL,933.8731009,880.5285716,16.27778897,14.72391678,878.5407097,239.2358203,819.7184441,563.4415916,8.697120601,11.56260697,67.81153791,187.7129858
Rv1199c,3.956620266,4.231943975,21.21836297,22.49627739,4.184785771,3.265941702,0.299452618,0.457053712,0.339731274,0.435082252,1.077273596,3.552802555
IGR290_Rodriguez_Rv1199c-Rv1200,345.3167828,308.2885243,236.7907039,228.7225746,282.7021337,139.2234078,120.7078202,98.29541302,165.6301549,191.5404443,40.20772982,107.1969689
Miotto_candidate_1159,0,0,0,0,0,0,0,0,0,0,0,0
Miotto_candidate_1160,8.156901831,16.89021263,7.925278524,6.643104552,46.21071947,11.78734423,14.16347169,17.14902733,2.428717189,5.178851404,3.575631509,10.18675902
